Wall time,Step,Value
1701552381.5652783,10595,1.2785189937858377e-06
1701552381.8222773,10606,1.7265252836295986e-06
1701552382.0622804,10616,1.0760733175629866e-06
1701552382.1542854,10620,1.2134066764701856e-06
1701552382.838279,10649,9.58460987021681e-07
1701552383.0532777,10658,1.4399693100131117e-06
1701552383.6272788,10681,1.0031421879830305e-06
1701552383.6552794,10682,7.355220077442937e-07
1701552383.9712772,10694,9.377062610838038e-07
1701552384.7742815,10725,1.0636537126629264e-06
1701552385.0072775,10734,1.4983886558184167e-06
1701552385.4132843,10751,1.2697869351541158e-06
1701552385.532278,10756,1.7051496570275049e-06
1701552385.7442782,10765,2.1586495222436497e-06
1701552385.9422789,10773,2.8715739972540177e-06
1701552386.1372812,10781,2.6487196009838954e-06
1701552386.5682783,10798,1.3607148048322415e-06
1701552387.2702801,10828,1.7526093643027707e-06
1701552387.5012774,10838,8.510967290931148e-07
1701552388.3732774,10875,1.627508936508093e-06
1701552388.5792787,10884,2.0032666725455783e-06
1701552388.602278,10885,2.289926442244905e-06
1701552389.1212773,10907,7.331934284593444e-06
1701552389.2882774,10914,5.1406041166046634e-06
1701552389.9292805,10942,4.797364454134367e-06
1701552390.170277,10952,9.379587027069647e-06
1701552390.2902777,10957,5.545430212805513e-06
1701552390.543277,10968,3.277062660345109e-06
1701552390.7552853,10977,1.8713149074756075e-06
1701552391.0932777,10991,2.5085753350140294e-06
1701552391.9942794,11029,2.0932093320880085e-06
1701552392.0692792,11032,1.9800324935204117e-06
1701552392.8632803,11066,2.445935933792498e-06
1701552392.9612777,11070,2.4349808427359676e-06
1701552393.511278,11093,3.49647916664253e-06
1701552393.6492777,11099,4.368669124232838e-06
1701552393.6952791,11101,4.5195192797109485e-06
1701552394.6372783,11141,2.0481497813307215e-06
1701552394.784278,11147,2.0634970496757887e-06
1701552394.8292778,11149,2.7114563181385165e-06
1701552395.0962815,11160,1.8075870684697293e-06
1701552395.2192895,11165,1.7475899767305236e-06
1701552395.5422783,11179,3.071570063184481e-06
